Ratio,Replicate,DT.Replicate,D0.red,D0.white,Df.red,Df.white
1:9,1,i,28,365,37,337
1:9,1,ii,35,323,35,338
1:9,1,iii,37,324,28,336
1:9,2,i,31,265,31,396
1:9,2,ii,27,283,25,359
1:9,2,iii,27,279,27,388
1:9,3,i,49,377,36,383
1:9,3,ii,46,342,36,374
1:9,3,iii,40,334,33,392
1:9,4,i,42,384,37,372
1:9,4,ii,42,334,33,338
1:9,4,iii,37,318,33,381
1:9,5,i,47,334,49,394
1:9,5,ii,26,351,55,365
1:9,5,iii,31,288,40,327
1:9,6,i,31,309,38,352
1:9,6,ii,41,318,26,376
1:9,6,iii,39,307,47,413
1:9,7,i,36,320,38,388
1:9,7,ii,33,294,32,407
1:9,7,iii,41,329,38,405
1:9,8,i,28,368,53,376
1:9,8,ii,39,290,24,353
1:9,8,iii,33,308,24,424
1:9,9,i,29,302,45,405
1:9,9,ii,44,281,50,383
1:9,9,iii,38,351,46,388
1:9,10,i,37,338,28,357
1:9,10,ii,43,347,43,367
1:9,10,iii,38,350,42,270
1:9,11,i,35,387,39,364
1:9,11,ii,36,354,46,347
1:9,11,iii,46,351,42,376
1:9,12,i,37,333,49,377
1:9,12,ii,49,354,43,350
1:9,12,iii,39,263,40,346
1:1,1,i,164,182,157,259
1:1,1,ii,148,161,154,244
1:1,1,iii,150,156,151,235
1:1,2,i,200,204,145,276
1:1,2,ii,179,206,148,266
1:1,2,iii,205,176,146,287
1:1,3,i,186,173,137,266
1:1,3,ii,179,175,169,280
1:1,3,iii,204,186,164,292
1:1,4,i,177,160,170,283
1:1,4,ii,167,147,168,264
1:1,4,iii,171,169,165,244
1:1,5,i,133,162,157,261
1:1,5,ii,187,162,137,292
1:1,5,iii,160,158,130,269
1:1,6,i,208,188,151,248
1:1,6,ii,225,186,185,287
1:1,6,iii,187,162,167,285
1:1,7,i,212,202,156,285
1:1,7,ii,188,188,160,256
1:1,7,iii,186,174,142,253
1:1,8,i,144,177,148,295
1:1,8,ii,161,182,129,299
1:1,8,iii,184,196,137,311
1:1,9,i,157,165,167,273
1:1,9,ii,162,172,177,288
1:1,9,iii,173,146,163,302
1:1,10,i,142,153,144,269
1:1,10,ii,152,167,151,252
1:1,10,iii,167,163,122,230
1:1,11,i,183,171,183,289
1:1,11,ii,202,193,188,297
1:1,11,iii,166,178,211,287
1:1,12,i,171,153,149,278
1:1,12,ii,155,160,112,268
1:1,12,iii,162,143,135,260
9:1,1,i,375,43,248,106
9:1,1,ii,346,33,310,115
9:1,1,iii,293,40,277,99
9:1,2,i,311,32,364,82
9:1,2,ii,344,45,371,103
9:1,2,iii,327,40,376,105
9:1,3,i,282,33,303,120
9:1,3,ii,278,38,316,98
9:1,3,iii,304,27,350,106
9:1,4,i,267,39,299,134
9:1,4,ii,219,23,318,138
9:1,4,iii,193,30,281,102
9:1,5,i,339,44,345,90
9:1,5,ii,359,32,330,88
9:1,5,iii,380,33,345,87
9:1,6,i,334,42,314,77
9:1,6,ii,330,42,350,107
9:1,6,iii,326,30,368,85
9:1,7,i,312,30,306,86
9:1,7,ii,333,45,299,98
9:1,7,iii,384,35,320,82
9:1,8,i,256,33,280,125
9:1,8,ii,269,24,274,118
9:1,8,iii,276,34,307,101
9:1,9,i,283,23,316,114
9:1,9,ii,285,25,364,134
9:1,9,iii,296,27,316,114
9:1,10,i,282,27,288,95
9:1,10,ii,228,21,273,92
9:1,10,iii,339,29,335,93
9:1,11,i,273,31,320,111
9:1,11,ii,239,41,288,115
9:1,11,iii,291,22,299,128
9:1,12,i,225,33,329,118
9:1,12,ii,265,35,276,84
9:1,12,iii,286,39,303,132
