Name,Replicate,D0.red,D0.white,Df.red,Df.white
1,1,92,106,89,116
1,2,65,109,70,115
1,3,97,118,60,120
1,4,105,123,93,110
1,5,89,106,85,122
1,6,99,86,89,102
1,7,108,96,73,92
1,8,96,97,83,118
1,9,88,93,98,119
1,10,112,102,81,105
2,1,116,88,92,128
2,2,93,95,103,97
2,3,86,110,94,134
2,4,86,101,92,109
2,5,90,87,90,106
2,6,76,70,96,89
2,7,60,66,69,103
2,8,104,105,80,87
2,9,93,100,77,79
2,10,91,93,80,120
3,1,98,106,118,106
3,2,116,109,77,127
3,3,97,117,113,124
3,4,123,119,74,128
3,5,102,100,90,101
3,6,84,93,88,98
3,7,94,97,62,103
3,8,107,117,96,115
3,9,107,111,104,123
3,10,118,103,76,121
